Zip Code,Median Household Income,Avg Household Size,Population,Median Age
90221.0,57610.0,4.03,50660.0,33.0
90803.0,98428.0,1.85,32631.0,45.8
90805.0,57232.0,3.4,96840.0,32.7
90802.0,62720.0,1.79,39036.0,35.8
90814.0,84195.0,2.15,19166.0,37.3
90813.0,44867.0,3.17,56420.0,30.6
90740.0,75019.0,1.91,24721.0,59.4
90807.0,81622.0,2.54,32994.0,43.3
90743.0,154750.0,2.44,487.0,55.6
90009.0,,,,
90834.0,,,,
90806.0,60172.0,3.27,41571.0,34.1
90808.0,118814.0,2.79,39723.0,43.2
90831.0,-666666666.0,-666666666.0,0.0,-666666666.0
90742.0,91250.0,1.45,470.0,57.5
90804.0,55647.0,2.42,37953.0,33.4
80755.0,-666666666.0,2.71,103.0,60.7
90755.0,79260.0,2.56,11813.0,36.0
90815.0,102939.0,2.7,43092.0,36.5
90840.0,-666666666.0,-666666666.0,0.0,-666666666.0
90081.0,,,,
90019.0,61616.0,2.54,61061.0,38.6
90701.0,83321.0,3.62,16390.0,38.4
90720.0,118531.0,2.85,23660.0,44.0
90630.0,109051.0,3.13,50543.0,41.2
90713.0,112118.0,3.03,29113.0,39.9
90703.0,115272.0,3.18,49989.0,45.7
90702.0,,,,
90605.0,83667.0,3.81,42600.0,35.2
91773.0,100614.0,2.88,34407.0,42.7
90650.0,83217.0,3.83,103427.0,35.5
90262.0,61941.0,4.27,67210.0,31.3
90715.0,79941.0,3.22,21174.0,37.2
90704.0,77644.0,2.51,3940.0,45.2
90822.0,-666666666.0,-666666666.0,117.0,73.0
90810.0,67687.0,3.73,37451.0,35.3
90723.0,60493.0,3.74,53938.0,31.6
90744.0,55141.0,3.8,57030.0,31.6
92845.0,116333.0,2.81,15240.0,43.9
90716.0,66537.0,3.83,14050.0,32.2
90745.0,93759.0,3.74,58327.0,39.5
90242.0,75005.0,3.36,43002.0,35.1
90623.0,105632.0,3.17,15703.0,44.2
90638.0,97838.0,3.08,46335.0,43.2
92501.0,71980.0,3.15,21610.0,32.4
92096.0,-666666666.0,-666666666.0,0.0,-666666666.0
91745.0,94608.0,3.35,54853.0,43.5
90249.0,69670.0,2.89,25929.0,41.2
90706.0,70236.0,3.26,79070.0,34.7
92832.0,79593.0,3.07,25720.0,33.7
92782.0,123909.0,2.74,30123.0,39.0
90012.0,53278.0,2.0,39709.0,34.9
90631.0,93045.0,3.16,69601.0,37.7
91765.0,99705.0,3.05,46270.0,44.0
90280.0,59713.0,3.91,93207.0,33.3
92649.0,104320.0,2.45,36130.0,44.9
90017.0,44607.0,2.18,28433.0,32.6
91743.0,,,,
90247.0,65598.0,2.99,48646.0,37.6
